key,class_name,class_description
PrintDocumentAdapter_onWrite,print document adapter,base class that provides the content of a document to be printed.
BufferedWriter_newLine,buffered writer,"writes text to a character output stream, buffering characters so as to provide for the efficient writing of single characters, arrays, and strings."
SearchManager_getGlobalSearchActivity,search manager,this class provides access to the system search services.
Charset_defaultCharset,charset,a named mapping between sequences of sixteen bit unicode code units and sequences of bytes.  this class defines methods for creating decoders and encoders and for retrieving the various names associated with a charset.  instances of this class are immutable.
URL_getRef,url,"class url represents a uniform resource locator, a pointer to a ""resource"" on the world wide web. a resource can be something as simple as a file or a directory, or it can be a reference to a more complicated object, such as a query to a database or to a search engine. more information on the types of urls and their formats can be found at: types of url"
SequenceInputStream_read,sequence input stream,"a sequenceinputstream represents the logical concatenation of other input streams. it starts out with an ordered collection of input streams and reads from the first one until end of file is reached, whereupon it reads from the second one, and so on, until end of file is reached on the last of the contained input streams."
RemoteControlClient_setOnGetPlaybackPositionListener,remote control client,
JetPlayer_pause,jet player,jetplayer provides access to jet content playback and control.
WebResourceResponse_setData,web resource response,encapsulates a resource response. applications can return an instance of this class from webviewclient#shouldinterceptrequest to provide a custom response when the webview requests a particular resource.
TransitionSet_setInterpolator,transition set,"a transitionset is a parent of child transitions (including other transitionsets). using transitionsets enables more complex choreography of transitions, where some sets play ordering_together and others play ordering_sequential. for example, autotransition uses a transitionset to sequentially play a fade(fade.out), followed by a changebounds, followed by a fade(fade.out) transition."
